,RdeltaB,Bpre,Bpost,itemideology,itemnum,partideology,ide_ms,ide_abs,partnum
416,20,50,70,1,0,0.0,1.0,100.0,52
417,0,85,85,1,1,0.0,1.0,100.0,52
418,50,0,50,2,2,0.0,1.0,100.0,52
419,0,85,85,2,3,0.0,1.0,100.0,52
420,5,45,50,3,4,0.0,1.0,100.0,52
421,20,50,70,3,5,0.0,1.0,100.0,52
422,0,100,100,3,6,0.0,1.0,100.0,52
423,50,0,50,3,7,0.0,1.0,100.0,52
424,26,74,100,1,0,0.0,1.0,100.0,53
425,18,82,100,1,1,0.0,1.0,100.0,53
426,73,0,73,2,2,0.0,1.0,100.0,53
427,60,8,68,2,3,0.0,1.0,100.0,53
428,42,37,79,3,4,0.0,1.0,100.0,53
429,45,21,66,3,5,0.0,1.0,100.0,53
430,8,92,100,3,6,0.0,1.0,100.0,53
431,61,15,76,3,7,0.0,1.0,100.0,53
432,0,100,100,1,0,0.0,1.0,100.0,54
433,0,0,0,1,1,0.0,1.0,100.0,54
434,0,0,0,2,2,0.0,1.0,100.0,54
435,0,100,100,2,3,0.0,1.0,100.0,54
436,0,100,100,3,4,0.0,1.0,100.0,54
437,0,100,100,3,5,0.0,1.0,100.0,54
438,0,0,0,3,6,0.0,1.0,100.0,54
439,0,0,0,3,7,0.0,1.0,100.0,54
440,0,100,100,1,0,0.0,1.0,100.0,55
441,0,100,100,1,1,0.0,1.0,100.0,55
442,68,0,68,2,2,0.0,1.0,100.0,55
443,62,0,62,2,3,0.0,1.0,100.0,55
444,47,49,96,3,4,0.0,1.0,100.0,55
445,31,54,85,3,5,0.0,1.0,100.0,55
446,90,10,100,3,6,0.0,1.0,100.0,55
447,73,0,73,3,7,0.0,1.0,100.0,55
448,0,100,100,1,0,0.0,1.0,100.0,56
449,4,96,100,1,1,0.0,1.0,100.0,56
450,-1,51,50,2,2,0.0,1.0,100.0,56
451,-44,44,0,2,3,0.0,1.0,100.0,56
452,-1,51,50,3,4,0.0,1.0,100.0,56
453,-21,21,0,3,5,0.0,1.0,100.0,56
454,50,50,100,3,6,0.0,1.0,100.0,56
455,-50,50,0,3,7,0.0,1.0,100.0,56
456,-33,100,67,1,0,0.0,1.0,100.0,57
457,0,100,100,1,1,0.0,1.0,100.0,57
458,26,0,26,2,2,0.0,1.0,100.0,57
459,19,0,19,2,3,0.0,1.0,100.0,57
460,30,40,70,3,4,0.0,1.0,100.0,57
461,-14,73,59,3,5,0.0,1.0,100.0,57
462,-9,92,83,3,6,0.0,1.0,100.0,57
463,-30,100,70,3,7,0.0,1.0,100.0,57
464,56,44,100,1,0,0.0,1.0,100.0,58
465,0,100,100,1,1,0.0,1.0,100.0,58
466,75,0,75,2,2,0.0,1.0,100.0,58
467,75,0,75,2,3,0.0,1.0,100.0,58
468,12,76,88,3,4,0.0,1.0,100.0,58
469,100,0,100,3,5,0.0,1.0,100.0,58
470,37,63,100,3,6,0.0,1.0,100.0,58
471,76,0,76,3,7,0.0,1.0,100.0,58
472,9,91,100,1,0,0.0,1.0,100.0,59
473,0,100,100,1,1,0.0,1.0,100.0,59
474,100,0,100,2,2,0.0,1.0,100.0,59
475,100,0,100,2,3,0.0,1.0,100.0,59
476,6,94,100,3,4,0.0,1.0,100.0,59
477,49,51,100,3,5,0.0,1.0,100.0,59
478,60,40,100,3,6,0.0,1.0,100.0,59
479,30,70,100,3,7,0.0,1.0,100.0,59
480,13,58,71,1,0,0.0,1.0,100.0,60
481,-1,50,49,1,1,0.0,1.0,100.0,60
482,5,50,55,2,2,0.0,1.0,100.0,60
483,0,50,50,2,3,0.0,1.0,100.0,60
484,-38,68,30,3,4,0.0,1.0,100.0,60
485,18,0,18,3,5,0.0,1.0,100.0,60
486,0,100,100,3,6,0.0,1.0,100.0,60
487,0,0,0,3,7,0.0,1.0,100.0,60
488,0,100,100,1,0,0.0,1.0,100.0,61
489,100,0,100,1,1,0.0,1.0,100.0,61
490,90,10,100,2,2,0.0,1.0,100.0,61
491,86,14,100,2,3,0.0,1.0,100.0,61
492,10,90,100,3,4,0.0,1.0,100.0,61
493,100,0,100,3,5,0.0,1.0,100.0,61
494,11,89,100,3,6,0.0,1.0,100.0,61
495,100,0,100,3,7,0.0,1.0,100.0,61
496,12,88,100,1,0,0.0,1.0,100.0,62
497,0,0,0,1,1,0.0,1.0,100.0,62
498,0,0,0,2,2,0.0,1.0,100.0,62
499,0,0,0,2,3,0.0,1.0,100.0,62
500,-1,76,75,3,4,0.0,1.0,100.0,62
501,-11,11,0,3,5,0.0,1.0,100.0,62
502,0,100,100,3,6,0.0,1.0,100.0,62
503,0,0,0,3,7,0.0,1.0,100.0,62
504,0,100,100,1,0,0.0,1.0,100.0,63
505,0,100,100,1,1,0.0,1.0,100.0,63
506,100,0,100,2,2,0.0,1.0,100.0,63
507,-50,50,0,2,3,0.0,1.0,100.0,63
508,25,75,100,3,4,0.0,1.0,100.0,63
509,100,0,100,3,5,0.0,1.0,100.0,63
510,75,25,100,3,6,0.0,1.0,100.0,63
511,100,0,100,3,7,0.0,1.0,100.0,63
512,7,92,99,1,0,0.0,1.0,100.0,64
513,0,0,0,1,1,0.0,1.0,100.0,64
514,99,0,99,2,2,0.0,1.0,100.0,64
515,-19,19,0,2,3,0.0,1.0,100.0,64
516,1,90,91,3,4,0.0,1.0,100.0,64
517,34,40,74,3,5,0.0,1.0,100.0,64
518,0,0,0,3,6,0.0,1.0,100.0,64
519,1,4,5,3,7,0.0,1.0,100.0,64
520,0,64,64,1,0,0.0,1.0,100.0,65
521,47,30,77,1,1,0.0,1.0,100.0,65
522,35,4,39,2,2,0.0,1.0,100.0,65
523,50,21,71,2,3,0.0,1.0,100.0,65
524,4,38,42,3,4,0.0,1.0,100.0,65
525,32,51,83,3,5,0.0,1.0,100.0,65
